Day,Date,Last Px,Volume,SMAVG(15),Dvd 12M Yld - Gross,P/E,P/B
Tu,2/27/24,,,,,34.983,7.9373
Mo,2/26/24,17933.33,238.178M,255.774M,0.8219,34.983,7.9373
,,,,,,,
Fr,2/23/24,17937.61,265.076M,260.989M,0.8217,34.9913,7.9392
Th,2/22/24,18004.7,315.546M,260.156M,0.8186,35.1222,7.9689
We,2/21/24,17478.91,239.847M,263.641M,0.8429,34.0965,7.7362
Tu,2/20/24,17546.1,271.57M,264.102M,0.8338,34.2276,7.7659
Mo,2/19/24,,,,,34.5005,7.8278
,,,,,,,
Fr,2/16/24,17685.98,264.751M,262.012M,0.8272,34.5005,7.8278
Th,2/15/24,17845.72,257.369M,261.267M,0.8212,34.8121,7.8985
We,2/14/24,17807.63,240.485M,263.668M,0.8223,34.7378,7.8816
Tu,2/13/24,17600.42,271.137M,265.197M,0.8303,34.3336,7.7899
Mo,2/12/24,17882.66,231.36M,260.585M,0.8172,34.8841,7.9149
,,,,,,,
Fr,2/9/24,17962.4,256.412M,262.367M,0.8131,35.0397,7.9502
Th,2/8/24,17783.17,233.959M,267.138M,0.8209,34.6901,7.8708
We,2/7/24,17755.07,258.716M,269.21M,0.8215,34.6353,7.8584
Tu,2/6/24,17572.73,238.993M,266.495M,0.8301,34.2796,7.7777
Mo,2/5/24,17613.04,253.204M,267.117M,0.8359,34.3582,7.7955
,,,,,,,
Fr,2/2/24,17642.73,316.412M,262.902M,0.8344,34.4161,7.8087
Th,2/1/24,17344.71,252.575M,256.506M,0.8487,33.8348,7.6768
We,1/31/24,17137.24,367.832M,253.677M,0.8586,33.43,7.5849
Tu,1/30/24,17476.71,246.758M,244.14M,0.8417,34.0922,7.7352
Mo,1/29/24,17596.27,240.22M,245.993M,0.8356,34.3255,7.7881
,,,,,,,
Fr,1/26/24,17421.01,253.58M,244.709M,0.844,33.9836,7.7105
Th,1/25/24,17516.99,293.378M,244.513M,0.8394,34.1708,7.753
We,1/24/24,17499.3,263.423M,240.861M,0.8402,34.1363,7.7452
Tu,1/23/24,17404.21,201.951M,241.302M,0.8448,33.9508,7.7032
Mo,1/22/24,17330.38,258.089M,240.884M,0.8484,33.8068,7.6706
,,,,,,,
Fr,1/19/24,17314,327.974M,233.651M,0.8492,33.7748,7.6633
Th,1/18/24,16982.29,265.038M,223.942M,0.8658,33.1278,7.5165
We,1/17/24,16736.28,217.997M,215.999M,0.8785,32.6479,7.4076
Tu,1/16/24,16830.71,248.327M,212.792M,0.8736,32.8321,7.4494
Mo,1/15/24,,,,,32.8364,7.4504
,,,,,,,
Fr,1/12/24,16832.92,189.982M,210.619M,0.8735,32.8364,7.4504
Th,1/11/24,16820.9,220.462M,216.298M,0.874,32.8129,7.4451
We,1/10/24,16793.04,210.143M,216.746M,0.8755,32.7586,7.4327
Tu,1/9/24,16678.71,224.785M,218.44M,0.8815,32.5356,7.3821
Mo,1/8/24,16649.88,274.541M,269.042M,0.8827,32.4793,7.3694
,,,,,,,
Fr,1/5/24,16305.98,220.965M,276.959M,0.9013,31.8085,7.2172
Th,1/4/24,16282.01,250.642M,279.928M,0.9026,31.7617,7.2065
We,1/3/24,16368.49,238.596M,279.991M,0.8977,31.9304,7.2448
Tu,1/2/24,16543.94,270.043M,284.348M,0.8878,32.2727,7.3225
Mo,1/1/24,,,,,32.8228,7.4473
,,,,,,,
Fr,12/29/23,16825.93,195.681M,282.716M,0.8723,32.8228,7.4473
Th,12/28/23,16898.47,149.588M,287.195M,0.8686,32.9643,7.4794
We,12/27/23,16906.8,182.343M,292.726M,0.8677,32.9805,7.4831
Tu,12/26/23,16878.46,145.889M,295.982M,0.8159,32.9252,7.4705
Mo,12/25/23,,,,,32.7281,7.4258
,,,,,,,
Fr,12/22/23,16777.4,169.897M,303.32M,0.8208,32.7281,7.4258
Th,12/21/23,16757.41,215.731M,308.51M,0.8218,32.6891,7.417
We,12/20/23,16554.16,275.169M,323.847M,0.8319,32.2926,7.327
Tu,12/19/23,16811.85,227.18M,320.927M,0.8192,32.7953,7.4411
Mo,12/18/23,16729.8,235.553M,321.748M,0.8207,32.6352,7.4047
,,,,,,,
