Day,Date,Last Px,Volume,SMAVG(15),Dvd 12M Yld - Gross,P/E,P/B
Tu,2/27/24,22156.9,,,1.2603,22.8745,3.1801
Mo,2/26/24,22122.05,207.776M,327.661M,1.2622,22.8745,3.1801
Su,2/25/24,,,,,22.9682,3.1931
,,,,,,,
Sa,2/24/24,,,,,22.9682,3.1931
Fr,2/23/24,22212.7,225.983M,343.199M,1.2571,22.9682,3.1931
Th,2/22/24,22217.45,343.495M,357.653M,1.2568,22.9731,3.1938
We,2/21/24,22055.05,364.546M,356.923M,1.2661,22.8052,3.1704
Tu,2/20/24,22196.95,295.705M,359.992M,1.2533,22.9519,3.1908
Mo,2/19/24,22122.25,218.252M,365.288M,1.2578,22.8747,3.1801
Su,2/18/24,,,,,22.7903,3.1684
,,,,,,,
Sa,2/17/24,,,,,22.7903,3.1684
Fr,2/16/24,22040.7,343.893M,375.851M,1.2625,22.7903,3.1684
Th,2/15/24,21910.75,345.394M,380.801M,1.27,22.656,3.1497
We,2/14/24,21840.05,359.121M,384.939M,1.2707,22.5829,3.1395
Tu,2/13/24,21743.25,365.786M,390.978M,1.2764,22.4828,3.1256
Mo,2/12/24,21616.05,287.436M,389.463M,1.2839,22.3513,3.1073
Su,2/11/24,,,,,22.5234,3.1313
,,,,,,,
Sa,2/10/24,,,,,22.5234,3.1313
Fr,2/9/24,21782.5,349.223M,396.123M,1.2741,22.5234,3.1313
Th,2/8/24,21717.95,491.07M,403.242M,1.2767,22.4566,3.122
We,2/7/24,21930.5,346.264M,389.999M,1.262,22.6764,3.1525
Tu,2/6/24,21929.4,370.968M,389.951M,1.2621,22.6747,3.1524
Mo,2/5/24,21771.7,440.85M,384.866M,1.2599,22.5117,3.1297
Su,2/4/24,,,,,22.5927,3.1396
,,,,,,,
Sa,2/3/24,,,,,22.5927,3.1396
Fr,2/2/24,21853.8,442.795M,369.639M,1.2763,22.775,3.2269
Th,2/1/24,21697.45,332.541M,354.586M,1.2855,22.612,3.2038
We,1/31/24,21725.7,410.583M,347.654M,1.2838,22.6415,3.208
Tu,1/30/24,21522.1,375.137M,335.712M,1.2979,22.4293,3.1779
Mo,1/29/24,21737.6,376.702M,331.323M,1.285,25.0401,3.1134
Su,1/28/24,,,,,24.5966,3.0582
,,,,,,,
Sa,1/27/24,,,,,24.5966,3.0582
Fr,1/26/24,,,,,24.5966,3.0582
Th,1/25/24,21352.6,418.143M,328.821M,1.3082,24.5966,3.0582
We,1/24/24,21453.95,407.461M,321.741M,1.302,24.7134,3.0727
Tu,1/23/24,21238.8,449.719M,312.157M,1.3152,24.4655,3.0419
Mo,1/22/24,,,,,24.8491,3.0896
Su,1/21/24,,,,,24.8491,3.0896
,,,,,,,
Sa,1/20/24,21571.8,,,,24.8491,3.0896
Fr,1/19/24,21622.4,343.055M,292.442M,1.2919,24.9074,3.0969
Th,1/18/24,21462.25,387.341M,287.634M,1.2786,24.7229,3.0739
We,1/17/24,21571.95,456M,288.016M,1.2721,24.8493,3.0896
Tu,1/16/24,22032.3,292.434M,274.719M,1.2456,25.3796,3.1556
Mo,1/15/24,22097.45,345.544M,269.855M,1.3121,25.4546,3.1649
Su,1/14/24,,,,,25.2209,3.1358
,,,,,,,
Sa,1/13/24,,,,,25.2209,3.1358
Fr,1/12/24,21894.55,294.678M,265.799M,1.3244,25.2209,3.1358
Th,1/11/24,21647.2,212.454M,264.657M,1.3396,24.936,3.1004
We,1/10/24,21618.7,216.992M,274.752M,1.3413,24.9031,3.0963
Tu,1/9/24,21544.85,228.569M,276.936M,1.3459,24.8181,3.0857
Mo,1/8/24,21513,231.453M,278.343M,1.3479,24.7814,3.0812
Su,1/7/24,,,,,25.0092,3.1095
,,,,,,,
Sa,1/6/24,,,,,25.0092,3.1095
Fr,1/5/24,21710.8,309.303M,296.83M,1.3356,25.0092,3.1095
Th,1/4/24,21658.6,339.173M,298.504M,1.3389,24.9491,3.102
We,1/3/24,21517.35,311.933M,293.244M,1.3477,24.7864,3.0818
Tu,1/2/24,21665.8,263.712M,288.773M,1.3384,24.9574,3.1031
Mo,1/1/24,21741.9,153.995M,285.387M,1.3337,25.045,3.114
Su,12/31/23,,,,,25.033,3.1125
,,,,,,,
