Day,Date,Last Px,Volume,SMAVG(15),Dvd 12M Yld - Gross,P/E,P/B
Tu,2/27/24,,,,,24.2199,4.6243
Mo,2/26/24,5069.53,623.419M,659.429M,1.4051,24.2199,4.6243
,,,,,,,
Fr,2/23/24,5088.8,633.418M,667.39M,1.3995,24.2918,4.6509
Th,2/22/24,5087.03,728.724M,673.217M,1.3997,24.2731,4.65
We,2/21/24,4981.8,618.518M,696.351M,1.4289,23.7806,4.5457
Tu,2/20/24,4975.51,696.451M,698.318M,1.4308,23.9867,4.6733
Mo,2/19/24,,,,,24.1316,4.7015
,,,,,,,
Fr,2/16/24,5005.57,683.362M,693.871M,1.4219,24.1316,4.7015
Th,2/15/24,5029.73,668.367M,689.913M,1.4148,24.2481,4.7242
We,2/14/24,5000.62,644.907M,695.353M,1.418,24.1077,4.6968
Tu,2/13/24,4953.17,689.444M,697.89M,1.4313,23.879,4.6523
Mo,2/12/24,5021.84,600.435M,691.698M,1.4119,24.21,4.7168
,,,,,,,
Fr,2/9/24,5026.61,633.866M,698.427M,1.4164,24.233,4.7213
Th,2/8/24,4997.91,641.192M,712.209M,1.4242,24.0947,4.6943
We,2/7/24,4995.06,693.459M,715.476M,1.4244,24.0809,4.6916
Tu,2/6/24,4954.23,636.055M,709.292M,1.436,23.8841,4.6533
Mo,2/5/24,4942.81,699.815M,714.16M,1.4417,23.829,4.6425
,,,,,,,
Fr,2/2/24,4958.61,742.829M,706.732M,1.4368,23.9052,4.6574
Th,2/1/24,4906.19,720.838M,699.834M,1.452,23.6525,4.6081
We,1/31/24,4845.65,1.076B,691.399M,1.4695,23.3606,4.5513
Tu,1/30/24,4924.97,648.024M,661.498M,1.4457,23.743,4.6258
Mo,1/29/24,4927.93,629.746M,664.902M,1.4443,23.7573,4.6286
,,,,,,,
Fr,1/26/24,4890.97,623.981M,666.292M,1.4552,23.5791,4.5939
Th,1/25/24,4894.16,749.968M,670.894M,1.4542,23.5945,4.5968
We,1/24/24,4868.55,682.972M,667.298M,1.4617,23.471,4.5728
Tu,1/23/24,4864.6,596.556M,668.901M,1.4628,23.452,4.5691
Mo,1/22/24,4850.43,701.376M,665.873M,1.4663,23.3837,4.5558
,,,,,,,
Fr,1/19/24,4839.81,840.591M,646.64M,1.4695,23.3325,4.5458
Th,1/18/24,4780.94,690.192M,622.412M,1.4872,23.0487,4.4905
We,1/17/24,4739.21,600.707M,601.972M,1.4989,22.8475,4.4513
Tu,1/16/24,4765.98,709.07M,593.794M,1.4902,22.9765,4.4765
Mo,1/15/24,,,,,23.0626,4.4932
,,,,,,,
Fr,1/12/24,4783.83,588.399M,586.455M,1.4845,23.0626,4.4932
Th,1/11/24,4780.24,639.363M,596.625M,1.4855,23.0453,4.4898
We,1/10/24,4783.45,594.304M,599.554M,1.4843,23.0608,4.4929
Tu,1/9/24,4756.5,627.225M,606.931M,1.4924,22.9308,4.4675
Mo,1/8/24,4763.54,699.08M,733.643M,1.4898,22.9648,4.4742
,,,,,,,
Fr,1/5/24,4697.24,650.594M,757.158M,1.5106,22.6451,4.4119
Th,1/4/24,4688.68,693.015M,768.592M,1.5134,22.6039,4.4038
We,1/3/24,4704.81,696.025M,765.13M,1.5075,22.6816,4.419
Tu,1/2/24,4742.83,707.024M,766.124M,1.4953,22.8649,4.4547
Mo,1/1/24,,,,,22.9951,4.4801
,,,,,,,
Fr,12/29/23,4769.83,551.13M,762.33M,1.4866,22.9951,4.4801
Th,12/28/23,4783.35,412.884M,769.233M,1.4825,23.0603,4.4928
We,12/27/23,4781.58,477.164M,784.556M,1.4816,23.0517,4.4911
Tu,12/26/23,4774.75,383.601M,795.151M,1.4661,23.0188,4.4847
Mo,12/25/23,,,,,22.9218,4.4658
,,,,,,,
Fr,12/22/23,4754.63,478.035M,816.867M,1.4743,22.9218,4.4658
Th,12/21/23,4746.75,598.988M,830.707M,1.4768,22.8838,4.4584
We,12/20/23,4698.35,740.948M,886.53M,1.492,22.6505,4.4129
Tu,12/19/23,4768.37,683.293M,878.118M,1.4697,22.9881,4.4787
Mo,12/18/23,4740.56,704.963M,871.34M,1.4776,22.8536,4.4526
,,,,,,,
Fr,12/15/23,4719.19,2.528B,862.462M,1.4899,22.7506,4.4325
Th,12/14/23,4719.55,1.052B,710.274M,1.4917,22.7523,4.4328
We,12/13/23,4707.09,822.11M,673.152M,1.492,22.6923,4.4211
Tu,12/12/23,4643.7,641.079M,654.055M,1.5122,22.3866,4.3617
