Day,Date,Last Px,Volume,SMAVG(15),Dvd 12M Yld,P/E,P/B
Tu,2/27/24,72864.26,,,1.1985,23.0827,3.1058
Mo,2/26/24,72790.13,7.869M,11.232M,1.1997,23.0827,3.1058
Su,2/25/24,,,,,23.1945,3.1208
,,,,,,,
Sa,2/24/24,,,,,23.1945,3.1208
Fr,2/23/24,73142.8,11.946M,12.033M,1.1939,23.1945,3.1208
Th,2/22/24,73158.24,9.126M,12.528M,1.1937,23.1994,3.1215
We,2/21/24,72623.09,13.911M,12.685M,1.2025,23.0297,3.0987
Tu,2/20/24,73057.4,7.729M,12.492M,1.1953,23.1675,3.1172
Mo,2/19/24,72708.16,8.406M,12.837M,1.201,23.0567,3.1023
Su,2/18/24,,,,,22.9674,3.0903
,,,,,,,
Sa,2/17/24,,,,,22.9674,3.0903
Fr,2/16/24,72426.64,15.154M,13.205M,1.2057,22.9674,3.0903
Th,2/15/24,72050.38,8.194M,14.639M,1.212,22.8481,3.0742
We,2/14/24,71822.83,10.686M,15.13M,1.2119,22.776,3.0645
Tu,2/13/24,71555.19,8.07M,15.177M,1.2164,22.6911,3.0531
Mo,2/12/24,71072.49,10.688M,16.34M,1.2247,22.538,3.0325
Su,2/11/24,,,,,22.7039,3.0548
,,,,,,,
Sa,2/10/24,,,,,22.7039,3.0548
Fr,2/9/24,71595.49,18.975M,16.495M,1.2158,22.7039,3.0548
Th,2/8/24,71428.43,14.483M,16.172M,1.2173,22.6509,3.0477
We,2/7/24,72152,12.778M,15.951M,1.2024,22.8803,3.0786
Tu,2/6/24,72186.09,10.467M,16.166M,1.2018,22.8905,3.0801
Mo,2/5/24,71731.42,19.882M,16.831M,1.1964,22.7463,3.0607
Su,2/4/24,,,,,22.8541,3.0736
,,,,,,,
Sa,2/3/24,,,,,22.8541,3.0736
Fr,2/2/24,72085.63,19.367M,16.025M,1.215,23.0717,3.1711
Th,2/1/24,71645.3,11.485M,15.359M,1.2225,22.9307,3.1517
We,1/31/24,71752.11,11.011M,15.227M,1.2207,22.9649,3.1564
Tu,1/30/24,71139.9,12.906M,15.22M,1.2312,22.769,3.1295
Mo,1/29/24,71941.57,13.937M,15.351M,1.2175,23.0255,3.1647
Su,1/28/24,,,,,24.6399,2.9499
,,,,,,,
Sa,1/27/24,,,,,24.6399,2.9499
Fr,1/26/24,,,,,24.6399,2.9499
Th,1/25/24,70700.67,36.662M,15.013M,1.2388,24.6399,2.9499
We,1/24/24,71060.31,15.558M,13.472M,1.2323,24.7652,2.9649
Tu,1/23/24,70370.55,11.383M,13.068M,1.2444,24.5248,2.9361
Mo,1/22/24,,,,,24.8918,2.9801
Su,1/21/24,,,,,24.8918,2.9801
,,,,,,,
Sa,1/20/24,71423.65,,,,24.8918,2.9801
Fr,1/19/24,71683.23,25.525M,12.957M,1.2216,24.9823,2.9909
Th,1/18/24,71186.86,13.001M,12.578M,1.2035,24.8093,2.9702
We,1/17/24,71500.76,14.138M,12.228M,1.1983,24.9187,2.9833
Tu,1/16/24,73128.77,11.164M,11.94M,1.1716,25.4861,3.0512
Mo,1/15/24,73327.94,16.007M,11.711M,1.2504,25.5555,3.0595
Su,1/14/24,,,,,25.2908,3.0278
,,,,,,,
Sa,1/13/24,,,,,25.2908,3.0278
Fr,1/12/24,72568.45,20.441M,11.664M,1.2635,25.2908,3.0278
Th,1/11/24,71721.18,7.792M,10.886M,1.2784,24.9955,2.9925
We,1/10/24,71657.71,9.372M,11.245M,1.2795,24.9734,2.9898
Tu,1/9/24,71386.21,9.516M,11.192M,1.2844,24.8788,2.9785
Mo,1/8/24,71355.22,10.901M,11.388M,1.285,24.868,2.9772
Su,1/7/24,,,,,25.1018,3.0052
,,,,,,,
Sa,1/6/24,,,,,25.1018,3.0052
