Day,Date,Last Px,Volume,SMAVG (15),P/B,P/E
Tu,2/27/24,72904.97,,,3.1058,23.0827
Mo,2/26/24,72790.13,7.869M,11.232M,3.1058,23.0827
Su,2/25/24,,,,3.1208,23.1945
,,,,,,
Sa,2/24/24,,,,3.1208,23.1945
Fr,2/23/24,73142.8,11.946M,12.033M,3.1208,23.1945
Th,2/22/24,73158.24,9.126M,12.528M,3.1215,23.1994
We,2/21/24,72623.09,13.911M,12.685M,3.0987,23.0297
Tu,2/20/24,73057.4,7.729M,12.492M,3.1172,23.1675
Mo,2/19/24,72708.16,8.406M,12.837M,3.1023,23.0567
Su,2/18/24,,,,3.0903,22.9674
,,,,,,
Sa,2/17/24,,,,3.0903,22.9674
Fr,2/16/24,72426.64,15.154M,13.205M,3.0903,22.9674
Th,2/15/24,72050.38,8.194M,14.639M,3.0742,22.8481
We,2/14/24,71822.83,10.686M,15.13M,3.0645,22.776
Tu,2/13/24,71555.19,8.07M,15.177M,3.0531,22.6911
Mo,2/12/24,71072.49,10.688M,16.34M,3.0325,22.538
Su,2/11/24,,,,3.0548,22.7039
,,,,,,
Sa,2/10/24,,,,3.0548,22.7039
Fr,2/9/24,71595.49,18.975M,16.495M,3.0548,22.7039
Th,2/8/24,71428.43,14.483M,16.172M,3.0477,22.6509
We,2/7/24,72152,12.778M,15.951M,3.0786,22.8803
Tu,2/6/24,72186.09,10.467M,16.166M,3.0801,22.8905
Mo,2/5/24,71731.42,19.882M,16.831M,3.0607,22.7463
Su,2/4/24,,,,3.0736,22.8541
,,,,,,
Sa,2/3/24,,,,3.0736,22.8541
Fr,2/2/24,72085.63,19.367M,16.025M,3.1711,23.0717
Th,2/1/24,71645.3,11.485M,15.359M,3.1517,22.9307
We,1/31/24,71752.11,11.011M,15.227M,3.1564,22.9649
Tu,1/30/24,71139.9,12.906M,15.22M,3.1295,22.769
Mo,1/29/24,71941.57,13.937M,15.351M,3.1647,23.0255
Su,1/28/24,,,,2.9499,24.6399
,,,,,,
Sa,1/27/24,,,,2.9499,24.6399
Fr,1/26/24,,,,2.9499,24.6399
Th,1/25/24,70700.67,36.662M,15.013M,2.9499,24.6399
We,1/24/24,71060.31,15.558M,13.472M,2.9649,24.7652
Tu,1/23/24,70370.55,11.383M,13.068M,2.9361,24.5248
Mo,1/22/24,,,,2.9801,24.8918
Su,1/21/24,,,,2.9801,24.8918
,,,,,,
Sa,1/20/24,71423.65,,,2.9801,24.8918
Fr,1/19/24,71683.23,25.525M,12.957M,2.9909,24.9823
Th,1/18/24,71186.86,13.001M,12.578M,2.9702,24.8093
We,1/17/24,71500.76,14.138M,12.228M,2.9833,24.9187
Tu,1/16/24,73128.77,11.164M,11.94M,3.0512,25.4861
Mo,1/15/24,73327.94,16.007M,11.711M,3.0595,25.5555
Su,1/14/24,,,,3.0278,25.2908
,,,,,,
Sa,1/13/24,,,,3.0278,25.2908
Fr,1/12/24,72568.45,20.441M,11.664M,3.0278,25.2908
Th,1/11/24,71721.18,7.792M,10.886M,2.9925,24.9955
We,1/10/24,71657.71,9.372M,11.245M,2.9898,24.9734
Tu,1/9/24,71386.21,9.516M,11.192M,2.9785,24.8788
Mo,1/8/24,71355.22,10.901M,11.388M,2.9772,24.868
Su,1/7/24,,,,3.0052,25.1018
,,,,,,
Sa,1/6/24,,,,3.0052,25.1018
Fr,1/5/24,72026.15,14.864M,12.332M,3.0052,25.1018
Th,1/4/24,71847.57,8.874M,12.157M,2.9977,25.0396
We,1/3/24,71356.6,13.55M,12.036M,2.9773,24.8685
Tu,1/2/24,71892.48,9.487M,11.599M,2.9996,25.0552
Mo,1/1/24,72271.94,9.727M,11.796M,3.0154,25.1875
Su,12/31/23,,,,3.0141,25.1764
,,,,,,
Sa,12/30/23,,,,3.0141,25.1764
Fr,12/29/23,72240.26,19.832M,12.359M,3.0141,25.1764
Th,12/28/23,72410.38,7.755M,12.772M,3.0212,25.2357
We,12/27/23,72038.43,9.813M,12.946M,3.0057,25.1061
Tu,12/26/23,71336.8,7.741M,12.933M,2.9764,24.8616
Mo,12/25/23,,,,2.9668,24.7815
Su,12/24/23,,,,2.9668,24.7815
,,,,,,
Sa,12/23/23,,,,2.9668,24.7815
Fr,12/22/23,71106.96,15.297M,14.475M,2.9668,24.7815
Th,12/21/23,70865.1,8.772M,14.9M,2.9567,24.6972
We,12/20/23,70506.31,13.176M,15.053M,2.9418,24.5721
Tu,12/19/23,71437.19,8.576M,14.731M,2.9806,24.8965
Mo,12/18/23,71315.09,12.459M,14.497M,2.9755,24.854
Su,12/17/23,,,,2.9826,24.9128
,,,,,,
Sa,12/16/23,,,,2.9826,24.9128
Fr,12/15/23,71483.75,25.054M,14.389M,2.9826,24.9128
Th,12/14/23,70514.2,12.247M,13.221M,2.9421,24.5749
We,12/13/23,69584.6,7.052M,12.69M,2.9033,24.2509
Tu,12/12/23,69551.03,6.996M,12.58M,2.9019,24.2392
Mo,12/11/23,69928.53,12.448M,12.591M,2.9177,24.3708
Su,12/10/23,,,,2.9134,24.3349
,,,,,,
Sa,12/9/23,,,,2.9134,24.3349
Fr,12/8/23,69825.6,18.167M,12.487M,2.9134,24.3349
