Tu,2/27/24,1.1981,,
Mo,2/26/24,1.1997,,
,,,,
Fr,2/23/24,1.1939,,
Th,2/22/24,1.1937,,
We,2/21/24,1.2025,,
Tu,2/20/24,1.1953,,
Mo,2/19/24,1.201,,
,,,,
Fr,2/16/24,1.2057,,
Th,2/15/24,1.212,,
We,2/14/24,1.2119,,
Tu,2/13/24,1.2164,,
Mo,2/12/24,1.2247,,
,,,,
Fr,2/9/24,1.2158,,
Th,2/8/24,1.2173,,
We,2/7/24,1.2024,,
Tu,2/6/24,1.2018,,
Mo,2/5/24,1.1964,,
,,,,
Fr,2/2/24,1.215,,
Th,2/1/24,1.2225,,
We,1/31/24,1.2207,,
Tu,1/30/24,1.2312,,
Mo,1/29/24,1.2175,,
,,,,
Th,1/25/24,1.2388,,
We,1/24/24,1.2323,,
Tu,1/23/24,1.2444,,
,,,,
Fr,1/19/24,1.2216,,
Th,1/18/24,1.2035,,
We,1/17/24,1.1983,,
Tu,1/16/24,1.1716,,
Mo,1/15/24,1.2504,,
,,,,
Fr,1/12/24,1.2635,,
Th,1/11/24,1.2784,,
We,1/10/24,1.2795,,
Tu,1/9/24,1.2844,,
Mo,1/8/24,1.285,,
,,,,
Fr,1/5/24,1.273,,
Th,1/4/24,1.2761,,
We,1/3/24,1.2849,,
Tu,1/2/24,1.2753,,
Mo,1/1/24,1.2687,,
,,,,
Fr,12/29/23,1.2692,,
Th,12/28/23,1.2662,,
We,12/27/23,1.2728,,
Tu,12/26/23,1.2853,,
,,,,
Fr,12/22/23,1.2894,,
Th,12/21/23,1.2938,,
We,12/20/23,1.3004,,
Tu,12/19/23,1.2835,,
Mo,12/18/23,1.2857,,
,,,,
Fr,12/15/23,1.283,,
Th,12/14/23,1.3007,,
We,12/13/23,1.318,,
Tu,12/12/23,1.3187,,
Mo,12/11/23,1.3115,,
,,,,
Fr,12/8/23,1.3135,,
Th,12/7/23,1.3192,,
We,12/6/23,1.3167,,
Tu,12/5/23,1.3235,,
Mo,12/4/23,1.3318,,
,,,,
Fr,12/1/23,1.3591,,
Th,11/30/23,1.3691,,
We,11/29/23,1.3709,,
Tu,11/28/23,1.386,,
,,,,
Fr,11/24/23,1.3902,,
Th,11/23/23,1.3892,,
We,11/22/23,1.3891,,
Tu,11/21/23,1.3911,,
Mo,11/20/23,1.3969,,
,,,,
Fr,11/17/23,1.394,,
Th,11/16/23,1.3911,,
We,11/15/23,1.3961,,
Mo,11/13/23,1.412,,
,,,,
Fr,11/10/23,1.4127,,
Th,11/9/23,1.4142,,
We,11/8/23,1.4263,,
Tu,11/7/23,1.427,,
